CustomerID,Gender,Age,Location,SignupDate,LastPurchaseDate,OrderCount,TotalSpend,FavCategory,AverageRating,Recency,Frequency,Monetary,ChurnRisk
CUST-00052,Male,62,Rural,2024-11-16,2025-08-23,7,7664.81,Beauty,3.7,131,7,7664.81,0
CUST-00053,Female,49,Urban,2023-03-16,2024-07-24,10,6044.56,Books,4.5,526,10,6044.56,0
CUST-00054,Female,44,Suburban,2024-03-21,2025-04-15,30,21167.34,Books,4.0,261,30,21167.34,0
CUST-00055,Female,35,Metro,2023-04-26,2024-12-14,18,72522.4,Home Decor,4.6,383,18,72522.4,0
CUST-00056,Male,48,Rural,2023-01-26,2024-09-17,15,274162.73,Electronics,3.7,471,15,274162.73,0
CUST-00057,Male,23,Metro,2024-04-27,2024-11-04,4,25859.41,Home Decor,3.7,423,4,25859.41,0
CUST-00058,Female,19,Metro,2023-07-25,2023-12-30,18,271176.63,Electronics,4.4,733,18,271176.63,0
CUST-00059,Female,61,Urban,2024-04-04,2024-09-06,24,357103.55,Electronics,4.9,482,24,357103.55,0
CUST-00060,Male,64,Metro,2024-11-18,2025-09-02,16,70437.55,Home Decor,3.6,121,16,70437.55,0
CUST-00061,Male,36,Urban,2023-06-12,2025-04-10,22,329300.63,Electronics,4.4,266,22,329300.63,0
CUST-00062,Male,39,Urban,2023-12-03,2025-03-14,10,8553.01,Books,3.6,293,10,8553.01,0
CUST-00063,Female,26,Urban,2023-11-29,2025-04-13,4,5580.52,Apparel,4.1,263,4,5580.52,0
CUST-00064,Female,66,Suburban,2024-01-09,2024-10-01,13,19802.35,Beauty,3.4,457,13,19802.35,0
CUST-00065,Female,23,Metro,2024-05-20,2025-10-28,19,224066.6,Electronics,4.9,65,19,224066.6,0
CUST-00066,Female,35,Metro,2023-10-20,2023-12-17,16,26723.28,Beauty,3.8,746,16,26723.28,0
CUST-00067,Male,49,Metro,2023-03-10,2024-03-01,12,194381.94,Electronics,4.6,671,12,194381.94,0
CUST-00068,Female,40,Rural,2024-10-23,2025-04-13,38,82345.42,Apparel,3.7,263,38,82345.42,0
CUST-00069,Male,59,Metro,2024-09-05,2025-09-01,11,145339.11,Electronics,3.5,122,11,145339.11,0
CUST-00070,Female,23,Metro,2023-02-08,2023-07-09,22,27934.67,Beauty,4.7,907,22,27934.67,1
CUST-00071,Male,22,Metro,2024-01-09,2024-10-25,21,70658.06,Home Decor,4.6,433,21,70658.06,0
CUST-00072,Female,29,Metro,2023-09-06,2025-08-02,15,20834.19,Beauty,4.9,152,15,20834.19,0
CUST-00073,Male,53,Urban,2024-03-11,2025-01-06,20,22177.26,Books,4.5,360,20,22177.26,0
CUST-00074,Male,24,Metro,2023-03-12,2025-06-17,17,37443.88,Apparel,4.4,198,17,37443.88,0
CUST-00075,Male,30,Metro,2024-08-24,2025-08-13,18,90845.42,Home Decor,4.8,141,18,90845.42,0
CUST-00076,Female,54,Suburban,2023-09-18,2025-09-18,52,39699.77,Books,4.6,105,52,39699.77,0
CUST-00077,Female,27,Suburban,2023-07-30,2025-03-09,52,244356.67,Home Decor,3.5,298,52,244356.67,0
CUST-00078,Female,24,Metro,2024-06-29,2024-09-27,17,26345.99,Beauty,4.8,461,17,26345.99,0
CUST-00079,Male,34,Metro,2024-05-26,2025-11-04,33,145976.29,Home Decor,4.1,58,33,145976.29,0
CUST-00080,Male,59,Suburban,2023-12-28,2025-06-08,18,12441.35,Books,3.8,207,18,12441.35,0
CUST-00081,Female,35,Urban,2023-07-30,2025-11-12,15,8650.51,Books,4.5,50,15,8650.51,0
CUST-00082,Female,30,Urban,2023-03-25,2025-07-06,5,7014.15,Apparel,3.8,179,5,7014.15,0
CUST-00083,Male,28,Rural,2023-08-07,2025-11-11,9,13995.68,Apparel,4.5,51,9,13995.68,0
CUST-00084,Female,49,Metro,2023-10-05,2024-05-31,40,175441.14,Home Decor,3.6,580,40,175441.14,0
CUST-00085,Female,59,Urban,2024-11-30,2025-05-02,16,90829.17,Home Decor,4.5,244,16,90829.17,0
CUST-00086,Male,65,Urban,2024-04-25,2025-11-04,43,82978.63,Apparel,4.4,58,43,82978.63,0
CUST-00087,Male,36,Metro,2024-08-27,2025-05-14,12,211674.98,Electronics,3.7,232,12,211674.98,0
CUST-00088,Male,63,Urban,2023-10-28,2024-09-16,37,152853.12,Home Decor,4.7,472,37,152853.12,0
CUST-00089,Male,45,Suburban,2024-06-26,2024-10-13,19,52664.57,Home Decor,4.6,445,19,52664.57,0
CUST-00090,Female,38,Suburban,2024-10-03,2025-02-13,13,221406.18,Electronics,4.1,322,13,221406.18,0
CUST-00091,Male,52,Metro,2023-11-07,2024-06-11,9,14863.08,Beauty,4.9,569,9,14863.08,0
CUST-00092,Female,45,Suburban,2023-08-14,2023-08-27,39,31701.05,Books,3.9,858,39,31701.05,1
CUST-00093,Male,46,Urban,2023-10-03,2025-11-29,4,89521.86,Electronics,4.3,33,4,89521.86,0
CUST-00094,Female,20,Suburban,2024-03-21,2025-03-28,21,28612.97,Beauty,4.8,279,21,28612.97,0
CUST-00095,Female,42,Metro,2024-05-09,2025-04-05,4,7350.34,Apparel,4.2,271,4,7350.34,0
CUST-00096,Male,30,Suburban,2023-11-06,2023-11-18,7,6385.13,Books,3.9,775,7,6385.13,1
CUST-00097,Female,26,Urban,2023-10-16,2025-11-30,16,350096.7,Electronics,4.4,32,16,350096.7,0
CUST-00098,Female,58,Metro,2024-08-05,2024-08-09,14,19769.06,Beauty,3.5,510,14,19769.06,0
CUST-00099,Female,29,Rural,2023-04-13,2025-07-06,38,562789.18,Electronics,3.9,179,38,562789.18,0
CUST-00100,Female,38,Metro,2024-06-29,2024-10-07,21,21043.63,Books,4.6,451,21,21043.63,0
CUST-00101,Female,32,Urban,2023-02-18,2025-06-16,32,65894.29,Apparel,4.2,199,32,65894.29,0
CUST-00102,Female,60,Metro,2024-01-29,2024-12-18,41,61937.73,Beauty,5.0,379,41,61937.73,0
CUST-00103,Male,27,Metro,2024-07-29,2025-10-15,6,14821.23,Apparel,3.5,78,6,14821.23,0
CUST-00104,Female,18,Metro,2023-07-14,2024-08-11,37,124973.93,Home Decor,5.0,508,37,124973.93,0
CUST-00105,Male,29,Rural,2023-01-29,2024-07-09,26,42935.37,Beauty,4.6,541,26,42935.37,0
CUST-00106,Male,54,Suburban,2023-12-24,2024-05-17,28,24158.17,Books,4.6,594,28,24158.17,0
CUST-00107,Male,58,Urban,2023-01-21,2025-03-22,15,11113.82,Books,4.3,285,15,11113.82,0
CUST-00108,Female,59,Metro,2023-02-26,2025-09-08,12,13073.02,Beauty,4.3,115,12,13073.02,0
CUST-00109,Female,51,Rural,2023-08-15,2024-08-10,15,47810.34,Home Decor,4.2,509,15,47810.34,0
CUST-00110,Female,41,Suburban,2024-04-29,2025-02-08,43,612504.78,Electronics,5.0,327,43,612504.78,0
CUST-00111,Female,24,Suburban,2024-05-18,2025-08-01,31,126901.47,Home Decor,4.3,153,31,126901.47,0
CUST-00112,Male,68,Urban,2024-02-20,2025-03-15,19,79507.18,Home Decor,3.8,292,19,79507.18,0
CUST-00113,Male,33,Metro,2023-05-29,2025-01-07,29,22906.92,Books,4.7,359,29,22906.92,0
CUST-00114,Female,61,Metro,2023-11-17,2025-12-27,45,69834.12,Beauty,3.6,5,45,69834.12,0
CUST-00115,Male,27,Rural,2023-04-22,2024-08-03,13,10924.2,Books,3.6,516,13,10924.2,0
CUST-00116,Female,67,Urban,2024-02-09,2024-12-27,6,77489.03,Electronics,3.4,370,6,77489.03,0
CUST-00117,Male,62,Suburban,2024-02-25,2025-03-18,16,11248.43,Books,4.2,289,16,11248.43,0
CUST-00118,Female,55,Metro,2024-09-15,2024-12-13,21,21302.22,Books,4.9,384,21,21302.22,0
CUST-00119,Male,49,Urban,2023-07-30,2024-07-16,34,53928.38,Apparel,4.7,534,34,53928.38,0
CUST-00120,Male,36,Urban,2024-09-12,2024-12-18,33,25900.49,Books,4.6,379,33,25900.49,0
CUST-00121,Male,41,Urban,2024-10-10,2025-10-02,7,7915.42,Beauty,4.9,91,7,7915.42,0
CUST-00122,Male,50,Rural,2024-07-13,2024-08-23,10,142300.13,Electronics,4.5,496,10,142300.13,0
CUST-00123,Female,44,Rural,2024-08-04,2025-07-08,21,15957.45,Books,4.8,177,21,15957.45,0
CUST-00124,Female,66,Suburban,2024-02-19,2024-07-07,37,457104.94,Electronics,4.0,543,37,457104.94,0
CUST-00125,Male,27,Suburban,2024-05-04,2024-05-20,13,26087.52,Beauty,3.6,591,13,26087.52,0
CUST-00126,Male,58,Suburban,2024-01-06,2024-03-20,24,423893.4,Electronics,4.1,652,24,423893.4,0
CUST-00127,Female,46,Suburban,2024-01-23,2025-03-02,7,5923.83,Beauty,4.9,305,7,5923.83,0
CUST-00128,Male,44,Rural,2023-10-20,2025-12-04,17,60283.4,Home Decor,5.0,28,17,60283.4,0
CUST-00129,Female,18,Urban,2023-08-26,2024-09-22,32,47902.4,Beauty,3.6,466,32,47902.4,0
CUST-00130,Female,64,Urban,2023-05-21,2023-06-10,8,11647.14,Beauty,4.7,936,8,11647.14,1
CUST-00131,Male,26,Rural,2024-03-02,2025-07-18,11,15380.76,Apparel,4.9,167,11,15380.76,0
CUST-00132,Male,68,Metro,2024-07-31,2025-02-06,12,136780.79,Electronics,3.9,329,12,136780.79,0
CUST-00133,Male,68,Suburban,2024-11-14,2025-02-26,7,28187.61,Home Decor,3.6,309,7,28187.61,0
CUST-00134,Female,59,Suburban,2023-12-07,2024-11-09,32,135318.18,Home Decor,3.7,418,32,135318.18,0
CUST-00135,Male,36,Urban,2024-02-23,2025-12-30,9,18849.8,Apparel,4.5,2,9,18849.8,0
CUST-00136,Female,59,Rural,2023-06-22,2024-10-08,11,147879.83,Electronics,4.1,450,11,147879.83,0
CUST-00137,Female,43,Metro,2024-01-15,2024-10-10,2,810.57,Books,4.3,448,2,810.57,0
CUST-00138,Male,40,Urban,2023-07-05,2024-09-03,18,13917.83,Books,4.3,485,18,13917.83,0
CUST-00139,Male,35,Metro,2023-03-12,2025-05-21,7,104788.73,Electronics,3.8,225,7,104788.73,0
CUST-00140,Male,48,Metro,2024-10-06,2025-02-18,10,148272.64,Electronics,5.0,317,10,148272.64,0
CUST-00141,Male,24,Metro,2023-05-31,2025-01-28,6,112454.74,Electronics,3.6,338,6,112454.74,0
CUST-00142,Female,68,Suburban,2023-04-14,2025-02-04,11,29572.33,Apparel,3.9,331,11,29572.33,0
CUST-00143,Male,24,Metro,2024-11-11,2025-01-02,16,58456.32,Home Decor,4.0,364,16,58456.32,0
CUST-00144,Male,28,Urban,2023-04-02,2024-12-16,13,60525.3,Home Decor,4.2,381,13,60525.3,0
CUST-00145,Female,47,Rural,2024-04-30,2024-11-25,9,12151.78,Beauty,4.7,402,9,12151.78,0
CUST-00146,Female,64,Urban,2024-09-28,2024-11-16,5,5973.9,Books,3.8,411,5,5973.9,0
CUST-00147,Male,44,Urban,2023-03-02,2024-02-10,12,18384.32,Beauty,4.9,691,12,18384.32,0
CUST-00148,Female,21,Suburban,2024-07-17,2024-09-09,2,10606.85,Electronics,3.4,479,2,10606.85,0
CUST-00149,Female,60,Suburban,2024-08-30,2025-12-27,9,6290.19,Books,3.9,5,9,6290.19,0
CUST-00150,Male,28,Urban,2024-10-13,2025-12-09,16,24311.44,Apparel,3.9,23,16,24311.44,0
CUST-00151,Female,61,Suburban,2023-07-02,2024-08-04,15,33162.25,Apparel,4.6,515,15,33162.25,0
CUST-00152,Male,43,Metro,2023-11-10,2023-11-27,9,18462.06,Beauty,4.8,766,9,18462.06,0
CUST-00153,Female,51,Metro,2023-04-28,2023-07-16,20,80211.95,Home Decor,4.3,900,20,80211.95,0
CUST-00154,Female,35,Rural,2023-10-17,2024-02-28,3,5296.24,Home Decor,3.4,673,3,5296.24,0
CUST-00155,Female,35,Metro,2024-11-28,2024-12-28,6,7348.07,Apparel,4.7,369,6,7348.07,0
CUST-00156,Male,69,Urban,2023-11-29,2024-03-26,31,57635.25,Apparel,4.4,646,31,57635.25,0
CUST-00157,Female,58,Metro,2024-04-21,2025-07-31,6,7804.6,Beauty,4.7,154,6,7804.6,0
CUST-00158,Male,45,Urban,2024-08-11,2025-02-04,10,134039.74,Electronics,4.1,331,10,134039.74,0
CUST-00159,Female,28,Urban,2023-12-18,2024-10-20,12,17059.64,Beauty,4.5,438,12,17059.64,0
CUST-00160,Female,43,Suburban,2023-01-03,2025-11-17,18,14493.11,Books,4.7,45,18,14493.11,0
CUST-00161,Female,21,Metro,2023-07-11,2025-11-08,25,18389.32,Books,4.8,54,25,18389.32,0
CUST-00162,Female,67,Suburban,2024-02-06,2024-05-28,24,342710.42,Electronics,4.4,583,24,342710.42,0
CUST-00163,Male,27,Urban,2024-12-08,2024-12-24,30,103398.78,Home Decor,3.4,373,30,103398.78,0
CUST-00164,Male,52,Metro,2024-09-28,2025-10-28,26,88556.33,Home Decor,3.7,65,26,88556.33,0
CUST-00165,Male,49,Metro,2024-09-23,2025-11-29,12,14616.03,Apparel,3.8,33,12,14616.03,0
CUST-00166,Female,22,Urban,2024-04-28,2025-11-11,24,392506.33,Electronics,3.8,51,24,392506.33,0
CUST-00167,Male,54,Urban,2023-07-03,2024-06-17,19,17622.97,Books,4.1,563,19,17622.97,0
CUST-00168,Female,34,Metro,2024-12-22,2025-04-29,28,341063.05,Electronics,4.0,247,28,341063.05,0
CUST-00169,Male,69,Urban,2024-03-16,2024-11-07,15,231536.35,Electronics,4.5,420,15,231536.35,0
CUST-00170,Female,36,Metro,2024-02-12,2025-06-18,22,360683.05,Electronics,4.9,197,22,360683.05,0
CUST-00171,Female,24,Metro,2024-01-27,2025-11-30,12,31375.34,Home Decor,4.7,32,12,31375.34,0
CUST-00172,Male,58,Suburban,2023-07-10,2025-10-19,32,51495.75,Beauty,3.9,74,32,51495.75,0
CUST-00173,Male,68,Urban,2023-01-29,2024-03-22,41,147298.4,Home Decor,4.4,650,41,147298.4,0
CUST-00174,Male,63,Urban,2024-08-12,2024-10-23,7,4552.54,Books,4.3,435,7,4552.54,0
CUST-00175,Male,65,Metro,2024-06-01,2025-12-17,3,2047.13,Books,5.0,15,3,2047.13,0
CUST-00176,Male,59,Urban,2023-12-22,2024-04-23,7,7796.44,Books,4.0,618,7,7796.44,0
CUST-00177,Female,50,Urban,2024-06-25,2024-08-17,29,38530.81,Beauty,3.8,502,29,38530.81,0
CUST-00178,Female,57,Suburban,2023-11-02,2025-08-13,12,147135.64,Electronics,4.9,141,12,147135.64,0
CUST-00179,Male,65,Urban,2024-09-17,2025-07-20,47,34217.01,Books,4.0,165,47,34217.01,0
CUST-00180,Male,61,Urban,2024-11-01,2025-07-05,16,29784.79,Apparel,4.9,180,16,29784.79,0
CUST-00181,Female,19,Metro,2024-12-30,2025-04-05,17,98380.16,Home Decor,4.0,271,17,98380.16,0
CUST-00182,Male,25,Metro,2024-06-27,2025-08-16,13,7997.25,Books,4.1,138,13,7997.25,0
CUST-00183,Female,66,Urban,2024-01-11,2024-02-17,6,8817.87,Apparel,3.8,684,6,8817.87,0
CUST-00184,Female,39,Rural,2023-06-24,2025-07-21,26,20709.34,Books,4.3,164,26,20709.34,0
CUST-00185,Male,45,Urban,2023-10-26,2024-12-03,23,48089.74,Apparel,4.0,394,23,48089.74,0
CUST-00186,Male,46,Suburban,2023-05-01,2025-07-07,18,52646.82,Home Decor,4.1,178,18,52646.82,0
CUST-00187,Male,57,Urban,2023-11-24,2024-07-05,18,47556.02,Apparel,4.1,545,18,47556.02,0
CUST-00188,Female,36,Suburban,2023-03-06,2023-03-26,58,267226.55,Home Decor,4.1,1012,58,267226.55,0
CUST-00189,Female,35,Suburban,2024-07-19,2025-02-03,17,56142.64,Home Decor,4.3,332,17,56142.64,0
CUST-00190,Female,51,Rural,2024-06-17,2025-12-07,58,861597.18,Electronics,4.5,25,58,861597.18,0
CUST-00191,Male,68,Suburban,2023-05-15,2024-09-12,26,35572.88,Beauty,4.2,476,26,35572.88,0
CUST-00192,Male,28,Suburban,2024-04-08,2025-02-24,36,590947.49,Electronics,3.9,311,36,590947.49,0
CUST-00193,Female,35,Metro,2024-01-09,2025-09-05,9,6283.25,Books,4.4,118,9,6283.25,0
CUST-00194,Female,40,Urban,2024-03-31,2024-04-21,18,269055.16,Electronics,4.0,620,18,269055.16,0
CUST-00195,Male,23,Metro,2024-05-24,2025-03-17,17,31850.04,Beauty,4.8,290,17,31850.04,0
CUST-00196,Female,53,Metro,2023-03-05,2025-01-24,48,766602.64,Electronics,4.8,342,48,766602.64,0
CUST-00197,Female,29,Suburban,2023-08-01,2024-06-19,38,46109.14,Beauty,4.4,561,38,46109.14,0
CUST-00198,Male,55,Metro,2024-09-21,2024-12-15,14,25966.55,Beauty,4.1,382,14,25966.55,0
CUST-00199,Female,18,Rural,2023-06-28,2023-10-08,17,41401.63,Apparel,3.4,816,17,41401.63,0
CUST-00200,Female,69,Metro,2023-03-28,2024-11-24,6,53255.66,Electronics,4.9,403,6,53255.66,0
CUST-00201,Female,51,Suburban,2023-05-31,2025-03-31,34,33641.7,Books,4.5,276,34,33641.7,0
CUST-00202,Female,37,Metro,2024-11-10,2025-02-07,15,19742.32,Beauty,4.8,328,15,19742.32,0
CUST-00203,Female,30,Suburban,2023-02-16,2023-11-28,25,396209.68,Electronics,5.0,765,25,396209.68,0
CUST-00204,Female,35,Metro,2023-06-30,2024-03-12,19,16211.49,Books,4.0,660,19,16211.49,0
CUST-00205,Male,28,Suburban,2024-03-13,2025-10-25,22,110888.94,Home Decor,4.9,68,22,110888.94,0
CUST-00206,Female,45,Urban,2024-05-24,2025-05-31,20,34241.66,Beauty,4.6,215,20,34241.66,0
CUST-00207,Male,54,Metro,2024-07-19,2025-01-04,17,288237.33,Electronics,4.5,362,17,288237.33,0
CUST-00208,Female,25,Metro,2023-02-21,2024-08-02,28,415711.73,Electronics,4.0,517,28,415711.73,0
CUST-00209,Male,30,Metro,2023-10-01,2024-04-23,19,29686.18,Beauty,3.5,618,19,29686.18,0
CUST-00210,Female,66,Urban,2023-12-30,2025-09-26,25,40705.22,Beauty,3.6,97,25,40705.22,0
CUST-00211,Male,37,Metro,2023-05-31,2025-11-26,8,8776.91,Books,4.5,36,8,8776.91,0
CUST-00212,Female,58,Suburban,2023-06-30,2025-12-30,12,151204.49,Electronics,4.7,2,12,151204.49,0
CUST-00213,Female,29,Urban,2024-01-06,2024-09-03,12,180320.81,Electronics,3.9,485,12,180320.81,0
CUST-00214,Male,49,Metro,2024-10-24,2025-10-13,6,10160.35,Beauty,3.9,80,6,10160.35,0
CUST-00215,Female,63,Urban,2024-10-11,2025-12-11,29,414882.36,Electronics,4.8,21,29,414882.36,0
CUST-00216,Male,63,Suburban,2024-04-19,2025-07-04,27,27037.4,Books,4.9,181,27,27037.4,0
CUST-00217,Male,26,Metro,2024-01-04,2024-09-23,8,10142.01,Beauty,3.7,465,8,10142.01,0
CUST-00218,Female,51,Metro,2023-01-09,2023-09-21,11,19169.97,Apparel,4.4,833,11,19169.97,0
CUST-00219,Male,38,Urban,2024-10-22,2025-11-15,39,35723.54,Books,3.4,47,39,35723.54,0
CUST-00220,Male,49,Urban,2024-02-09,2024-09-26,17,13171.38,Books,4.0,462,17,13171.38,0
CUST-00221,Male,51,Metro,2024-09-17,2025-06-25,12,148604.84,Electronics,3.6,190,12,148604.84,0
CUST-00222,Female,21,Urban,2023-04-11,2023-11-11,31,49371.11,Apparel,3.7,782,31,49371.11,0
CUST-00223,Male,62,Metro,2024-02-01,2025-05-14,13,52463.79,Home Decor,3.9,232,13,52463.79,0
CUST-00224,Female,49,Suburban,2024-11-10,2025-03-22,28,49412.66,Apparel,4.7,285,28,49412.66,0
CUST-00225,Female,31,Urban,2024-09-09,2025-07-26,10,13688.4,Beauty,5.0,159,10,13688.4,0
CUST-00226,Female,56,Suburban,2024-12-02,2025-07-21,10,170297.12,Electronics,4.4,164,10,170297.12,0
CUST-00227,Male,48,Metro,2023-02-03,2025-03-07,14,77717.67,Home Decor,4.2,300,14,77717.67,0
CUST-00228,Female,43,Metro,2023-12-02,2024-09-13,14,8732.12,Books,4.7,475,14,8732.12,0
CUST-00229,Female,25,Metro,2023-01-20,2024-08-17,23,30160.66,Beauty,4.2,502,23,30160.66,0
CUST-00230,Male,26,Metro,2024-08-26,2025-05-31,10,108859.63,Electronics,4.0,215,10,108859.63,0
CUST-00231,Male,44,Urban,2024-06-03,2025-01-26,37,136773.23,Home Decor,4.6,340,37,136773.23,0
CUST-00232,Male,66,Urban,2023-11-06,2025-09-15,14,61870.14,Home Decor,3.8,108,14,61870.14,0
CUST-00233,Male,25,Urban,2024-12-14,2025-07-12,6,86371.61,Electronics,4.4,173,6,86371.61,0
CUST-00234,Male,20,Metro,2023-12-15,2025-06-21,11,20303.25,Apparel,4.8,194,11,20303.25,0
CUST-00235,Female,60,Metro,2023-12-29,2024-08-16,7,4886.84,Books,4.1,503,7,4886.84,0
CUST-00236,Male,58,Suburban,2023-07-31,2024-01-13,19,83148.61,Home Decor,4.1,719,19,83148.61,0
CUST-00237,Male,68,Rural,2023-06-06,2025-10-16,7,14055.79,Beauty,4.4,77,7,14055.79,0
CUST-00238,Male,45,Metro,2024-11-23,2024-12-22,13,39388.48,Home Decor,4.7,375,13,39388.48,0
CUST-00239,Male,50,Rural,2024-01-16,2024-11-22,20,283567.82,Electronics,4.0,405,20,283567.82,0
CUST-00240,Male,68,Urban,2023-06-29,2025-07-25,49,87845.7,Beauty,3.6,160,49,87845.7,0
CUST-00241,Female,50,Urban,2023-01-23,2023-04-09,10,19808.78,Apparel,4.9,998,10,19808.78,0
CUST-00242,Male,37,Metro,2023-03-29,2024-03-22,20,235001.13,Electronics,3.5,650,20,235001.13,0
