MatchID,Date,TeamA,TeamB,TeamA_Score,TeamB_Score,Possession_TeamA,Shots_TeamA,WinProbability,Outcome
MCH-0048,2025-08-13,Thunderbolts,Centurions,0,1,49,18,0.65,Team B Win
MCH-0049,2025-06-15,Strikers,Phoenix FC,1,4,35,10,0.5,Team B Win
MCH-0050,2025-04-10,Strikers,Centurions,3,4,58,5,0.5,Team B Win
MCH-0051,2025-07-06,Centurions,Vipers,2,1,58,14,0.5,Team A Win
MCH-0052,2025-05-04,Gladiators,Centurions,3,0,38,5,0.5,Team A Win
MCH-0053,2025-08-30,Titans,Wizards,0,3,42,19,0.5,Team B Win
MCH-0054,2025-07-11,Centurions,Gladiators,0,0,57,10,0.5,Draw
MCH-0055,2025-11-02,Knights,Phoenix FC,0,1,55,14,0.5,Team B Win
MCH-0056,2025-09-08,Ironclads,Wizards,4,1,38,12,0.5,Team A Win
MCH-0057,2025-02-16,Thunderbolts,Strikers,1,0,39,6,0.65,Team A Win
MCH-0058,2025-06-26,Knights,Ironclads,2,4,47,17,0.5,Team B Win
MCH-0059,2025-10-13,Phoenix FC,Ironclads,0,1,45,16,0.5,Team B Win
MCH-0060,2025-06-25,Knights,Ironclads,4,0,61,11,0.5,Team A Win
MCH-0061,2025-06-05,Thunderbolts,Strikers,2,1,40,14,0.65,Team A Win
MCH-0062,2025-03-13,Strikers,Ironclads,4,0,35,5,0.5,Team A Win
MCH-0063,2025-08-28,Titans,Centurions,3,0,37,11,0.5,Team A Win
MCH-0064,2025-08-31,Thunderbolts,Phoenix FC,1,0,50,12,0.65,Team A Win
MCH-0065,2025-03-13,Wizards,Ironclads,0,1,59,6,0.5,Team B Win
MCH-0066,2025-06-18,Wizards,Centurions,0,0,47,7,0.5,Draw
MCH-0067,2025-12-07,Ironclads,Thunderbolts,2,1,62,14,0.35,Team A Win
MCH-0068,2025-11-12,Titans,Centurions,1,0,53,6,0.5,Team A Win
MCH-0069,2025-01-30,Titans,Vipers,2,2,60,18,0.5,Draw
MCH-0070,2025-12-17,Knights,Thunderbolts,0,1,49,14,0.35,Team B Win
MCH-0071,2025-02-04,Thunderbolts,Knights,3,1,57,17,0.65,Team A Win
MCH-0072,2025-12-01,Thunderbolts,Strikers,2,0,60,7,0.65,Team A Win
MCH-0073,2025-10-27,Wizards,Knights,0,1,58,10,0.5,Team B Win
MCH-0074,2025-09-22,Gladiators,Ironclads,2,3,36,16,0.5,Team B Win
MCH-0075,2025-06-08,Ironclads,Knights,3,1,45,13,0.5,Team A Win
MCH-0076,2025-08-20,Knights,Titans,2,1,49,15,0.5,Team A Win
MCH-0077,2025-11-19,Ironclads,Phoenix FC,1,0,58,10,0.5,Team A Win
MCH-0078,2025-08-21,Wizards,Vipers,1,0,45,15,0.5,Team A Win
MCH-0079,2025-09-28,Vipers,Knights,0,1,36,17,0.5,Team B Win
MCH-0080,2025-04-04,Titans,Knights,2,4,45,19,0.5,Team B Win
MCH-0081,2025-10-09,Knights,Wizards,1,1,56,9,0.5,Draw
MCH-0082,2025-02-27,Strikers,Ironclads,1,1,60,5,0.5,Draw
MCH-0083,2025-08-03,Gladiators,Phoenix FC,1,1,43,7,0.5,Draw
MCH-0084,2025-06-29,Centurions,Ironclads,3,4,50,9,0.5,Team B Win
MCH-0085,2025-03-31,Wizards,Phoenix FC,2,3,45,16,0.5,Team B Win
MCH-0086,2025-08-26,Gladiators,Titans,3,1,59,13,0.5,Team A Win
MCH-0087,2025-07-01,Strikers,Wizards,2,1,55,6,0.5,Team A Win
MCH-0088,2025-08-01,Phoenix FC,Vipers,1,2,63,16,0.5,Team B Win
MCH-0089,2025-03-14,Strikers,Gladiators,0,1,48,12,0.5,Team B Win
MCH-0090,2025-05-08,Centurions,Phoenix FC,3,4,40,8,0.5,Team B Win
MCH-0091,2025-01-21,Strikers,Titans,0,1,55,19,0.5,Team B Win
MCH-0092,2025-11-21,Strikers,Thunderbolts,4,2,63,13,0.35,Team A Win
MCH-0093,2025-09-17,Ironclads,Phoenix FC,1,2,44,13,0.5,Team B Win
MCH-0094,2025-10-08,Thunderbolts,Knights,4,1,35,19,0.65,Team A Win
MCH-0095,2025-01-14,Phoenix FC,Thunderbolts,4,0,35,6,0.35,Team A Win
MCH-0096,2025-10-05,Ironclads,Centurions,4,1,45,19,0.5,Team A Win
MCH-0097,2025-08-24,Ironclads,Knights,0,1,45,19,0.5,Team B Win
MCH-0098,2025-03-17,Thunderbolts,Knights,1,0,58,8,0.65,Team A Win
MCH-0099,2025-03-30,Thunderbolts,Strikers,3,0,46,6,0.65,Team A Win
MCH-0100,2025-10-15,Wizards,Ironclads,4,1,64,13,0.5,Team A Win
MCH-0101,2025-12-19,Gladiators,Titans,1,2,49,16,0.5,Team B Win
MCH-0102,2025-08-22,Wizards,Gladiators,2,2,62,19,0.5,Draw
MCH-0103,2025-08-12,Titans,Vipers,1,3,39,7,0.5,Team B Win
MCH-0104,2025-04-20,Strikers,Ironclads,4,2,35,5,0.5,Team A Win
MCH-0105,2025-01-16,Thunderbolts,Strikers,1,0,58,8,0.65,Team A Win
MCH-0106,2025-10-07,Titans,Ironclads,0,0,43,5,0.5,Draw
MCH-0107,2025-07-04,Gladiators,Strikers,4,2,54,7,0.5,Team A Win
MCH-0108,2025-04-20,Wizards,Phoenix FC,0,0,41,5,0.5,Draw
MCH-0109,2025-09-15,Knights,Vipers,0,1,44,7,0.5,Team B Win
MCH-0110,2025-08-13,Phoenix FC,Wizards,2,1,45,5,0.5,Team A Win
MCH-0111,2025-04-05,Vipers,Knights,3,2,47,18,0.5,Team A Win
MCH-0112,2025-03-27,Titans,Gladiators,4,1,40,14,0.5,Team A Win
MCH-0113,2025-04-10,Strikers,Wizards,0,1,54,7,0.5,Team B Win
MCH-0114,2025-04-07,Thunderbolts,Centurions,2,1,64,7,0.65,Team A Win
MCH-0115,2025-11-03,Ironclads,Vipers,1,2,53,12,0.5,Team B Win
MCH-0116,2025-12-09,Titans,Ironclads,1,0,40,15,0.5,Team A Win
MCH-0117,2025-08-21,Knights,Gladiators,0,1,42,12,0.5,Team B Win
MCH-0118,2025-04-25,Wizards,Knights,1,2,42,12,0.5,Team B Win
MCH-0119,2025-11-02,Thunderbolts,Knights,0,0,37,8,0.65,Draw
MCH-0120,2025-01-04,Titans,Knights,2,4,36,6,0.5,Team B Win
MCH-0121,2025-09-30,Ironclads,Gladiators,2,1,61,15,0.5,Team A Win
MCH-0122,2025-07-17,Phoenix FC,Wizards,1,1,53,14,0.5,Draw
MCH-0123,2025-09-24,Centurions,Phoenix FC,0,1,45,16,0.5,Team B Win
MCH-0124,2025-06-11,Knights,Vipers,1,2,62,13,0.5,Team B Win
MCH-0125,2025-09-04,Titans,Centurions,0,1,53,17,0.5,Team B Win
MCH-0126,2025-08-16,Strikers,Wizards,3,4,38,15,0.5,Team B Win
MCH-0127,2025-08-07,Phoenix FC,Wizards,1,0,63,13,0.5,Team A Win
MCH-0128,2025-11-22,Gladiators,Thunderbolts,0,1,58,10,0.35,Team B Win
MCH-0129,2025-12-11,Gladiators,Vipers,0,1,37,13,0.5,Team B Win
MCH-0130,2025-10-22,Phoenix FC,Vipers,2,3,54,17,0.5,Team B Win
MCH-0131,2025-04-01,Gladiators,Knights,1,0,63,15,0.5,Team A Win
MCH-0132,2025-09-12,Titans,Vipers,0,1,55,19,0.5,Team B Win
MCH-0133,2025-08-25,Thunderbolts,Vipers,2,1,50,16,0.65,Team A Win
MCH-0134,2025-05-11,Wizards,Vipers,0,3,62,5,0.5,Team B Win
MCH-0135,2025-12-31,Ironclads,Titans,3,2,49,13,0.5,Team A Win
MCH-0136,2025-02-13,Strikers,Wizards,3,2,55,18,0.5,Team A Win
MCH-0137,2025-08-31,Centurions,Gladiators,1,2,46,7,0.5,Team B Win
MCH-0138,2025-01-06,Ironclads,Vipers,1,0,42,7,0.5,Team A Win
MCH-0139,2025-12-02,Wizards,Strikers,1,0,53,11,0.5,Team A Win
MCH-0140,2025-01-01,Vipers,Titans,2,2,38,7,0.5,Draw
MCH-0141,2025-12-03,Thunderbolts,Knights,1,4,62,10,0.65,Team B Win
MCH-0142,2025-12-11,Vipers,Wizards,1,0,55,17,0.5,Team A Win
MCH-0143,2025-07-05,Thunderbolts,Gladiators,1,0,58,15,0.65,Team A Win
MCH-0144,2025-07-15,Gladiators,Thunderbolts,1,4,55,16,0.35,Team B Win
MCH-0145,2025-06-24,Centurions,Phoenix FC,0,1,48,17,0.5,Team B Win
MCH-0146,2025-01-18,Gladiators,Strikers,3,2,57,11,0.5,Team A Win
MCH-0147,2025-02-08,Wizards,Titans,0,1,50,12,0.5,Team B Win
MCH-0148,2025-10-28,Gladiators,Centurions,1,1,40,9,0.5,Draw
MCH-0149,2025-09-21,Thunderbolts,Knights,4,2,38,7,0.65,Team A Win
MCH-0150,2025-01-17,Phoenix FC,Centurions,4,1,44,12,0.5,Team A Win
MCH-0151,2025-08-31,Ironclads,Phoenix FC,4,3,39,14,0.5,Team A Win
MCH-0152,2025-02-12,Knights,Vipers,2,1,53,10,0.5,Team A Win
MCH-0153,2025-08-02,Strikers,Knights,1,4,58,12,0.5,Team B Win
MCH-0154,2025-10-18,Ironclads,Centurions,3,2,61,18,0.5,Team A Win
MCH-0155,2025-12-05,Strikers,Gladiators,4,3,38,15,0.5,Team A Win
MCH-0156,2025-09-01,Vipers,Wizards,1,4,59,6,0.5,Team B Win
MCH-0157,2025-05-18,Wizards,Centurions,0,1,44,16,0.5,Team B Win
MCH-0158,2025-10-01,Ironclads,Knights,3,1,50,9,0.5,Team A Win
MCH-0159,2025-08-14,Knights,Vipers,1,2,63,11,0.5,Team B Win
MCH-0160,2025-05-18,Knights,Vipers,4,3,60,5,0.5,Team A Win
MCH-0161,2025-02-27,Phoenix FC,Strikers,2,4,40,18,0.5,Team B Win
MCH-0162,2025-10-04,Titans,Thunderbolts,2,1,42,16,0.35,Team A Win
MCH-0163,2025-06-07,Knights,Strikers,4,2,39,14,0.5,Team A Win
MCH-0164,2025-07-29,Thunderbolts,Phoenix FC,4,2,36,10,0.65,Team A Win
MCH-0165,2025-12-19,Vipers,Strikers,2,4,42,11,0.5,Team B Win
MCH-0166,2025-04-07,Knights,Strikers,4,2,35,14,0.5,Team A Win
MCH-0167,2025-05-03,Phoenix FC,Centurions,3,2,38,5,0.5,Team A Win
MCH-0168,2025-11-16,Wizards,Strikers,3,2,60,13,0.5,Team A Win
MCH-0169,2025-07-31,Gladiators,Strikers,1,0,43,12,0.5,Team A Win
MCH-0170,2025-11-16,Strikers,Thunderbolts,3,1,45,10,0.35,Team A Win
MCH-0171,2025-06-21,Knights,Wizards,4,3,60,12,0.5,Team A Win
MCH-0172,2025-12-27,Strikers,Centurions,2,4,60,15,0.5,Team B Win
MCH-0173,2025-12-27,Wizards,Centurions,3,4,41,17,0.5,Team B Win
MCH-0174,2025-10-31,Wizards,Vipers,1,0,53,14,0.5,Team A Win
MCH-0175,2025-01-03,Gladiators,Knights,1,0,59,15,0.5,Team A Win
MCH-0176,2025-03-16,Titans,Gladiators,3,1,47,15,0.5,Team A Win
MCH-0177,2025-06-05,Centurions,Wizards,3,0,38,7,0.5,Team A Win
MCH-0178,2025-04-09,Thunderbolts,Vipers,1,0,50,11,0.65,Team A Win
MCH-0179,2025-11-10,Gladiators,Phoenix FC,4,2,39,14,0.5,Team A Win
MCH-0180,2025-03-25,Centurions,Wizards,3,1,37,7,0.5,Team A Win
MCH-0181,2025-12-06,Titans,Centurions,1,0,45,11,0.5,Team A Win
MCH-0182,2025-06-24,Thunderbolts,Strikers,1,0,58,8,0.65,Team A Win
MCH-0183,2025-04-28,Titans,Ironclads,0,2,35,11,0.5,Team B Win
MCH-0184,2025-05-15,Strikers,Thunderbolts,4,3,52,19,0.35,Team A Win
MCH-0185,2025-03-05,Strikers,Thunderbolts,0,4,38,8,0.35,Team B Win
MCH-0186,2025-05-15,Phoenix FC,Vipers,4,2,53,12,0.5,Team A Win
MCH-0187,2025-12-14,Strikers,Vipers,2,0,35,5,0.5,Team A Win
MCH-0188,2025-05-30,Ironclads,Strikers,4,1,47,5,0.5,Team A Win
MCH-0189,2025-09-02,Strikers,Centurions,2,1,58,11,0.5,Team A Win
MCH-0190,2025-11-20,Titans,Thunderbolts,0,1,59,14,0.35,Team B Win
MCH-0191,2025-06-14,Vipers,Wizards,2,0,46,9,0.5,Team A Win
MCH-0192,2025-12-12,Thunderbolts,Titans,2,3,63,19,0.65,Team B Win
MCH-0193,2025-06-12,Wizards,Thunderbolts,2,1,58,7,0.35,Team A Win
MCH-0194,2025-05-29,Wizards,Vipers,3,0,44,18,0.5,Team A Win
MCH-0195,2025-03-24,Wizards,Gladiators,4,1,36,7,0.5,Team A Win
MCH-0196,2025-02-26,Phoenix FC,Centurions,3,1,41,12,0.5,Team A Win
MCH-0197,2025-03-22,Centurions,Wizards,2,1,38,18,0.5,Team A Win
MCH-0198,2025-06-20,Centurions,Knights,1,2,49,15,0.5,Team B Win
MCH-0199,2025-11-10,Strikers,Thunderbolts,1,0,55,7,0.35,Team A Win
MCH-0200,2025-05-21,Gladiators,Titans,2,0,58,13,0.5,Team A Win
MCH-0201,2025-03-21,Knights,Thunderbolts,2,0,38,14,0.35,Team A Win
MCH-0202,2025-05-30,Phoenix FC,Strikers,2,0,45,7,0.5,Team A Win
MCH-0203,2025-09-29,Thunderbolts,Strikers,0,4,44,13,0.65,Team B Win
MCH-0204,2025-07-13,Thunderbolts,Gladiators,4,1,42,19,0.65,Team A Win
MCH-0205,2025-01-24,Knights,Thunderbolts,1,2,64,19,0.35,Team B Win
MCH-0206,2025-05-22,Gladiators,Thunderbolts,1,0,48,5,0.35,Team A Win
MCH-0207,2025-05-14,Strikers,Centurions,4,3,37,11,0.5,Team A Win
MCH-0208,2025-07-20,Gladiators,Titans,0,0,37,10,0.5,Draw
MCH-0209,2025-10-11,Knights,Wizards,3,4,38,14,0.5,Team B Win
MCH-0210,2025-09-09,Vipers,Gladiators,4,1,59,16,0.5,Team A Win
MCH-0211,2025-01-30,Vipers,Wizards,2,2,60,14,0.5,Draw
MCH-0212,2025-06-10,Centurions,Vipers,1,4,47,16,0.5,Team B Win
MCH-0213,2025-10-28,Strikers,Wizards,1,0,45,11,0.5,Team A Win
MCH-0214,2025-06-06,Thunderbolts,Centurions,0,1,51,16,0.65,Team B Win
MCH-0215,2025-01-30,Thunderbolts,Vipers,4,3,44,14,0.65,Team A Win
MCH-0216,2025-05-31,Ironclads,Knights,1,2,61,17,0.5,Team B Win
MCH-0217,2025-01-01,Titans,Thunderbolts,2,3,59,5,0.35,Team B Win
MCH-0218,2025-09-23,Gladiators,Strikers,0,1,58,9,0.5,Team B Win
MCH-0219,2025-04-02,Gladiators,Strikers,3,4,52,17,0.5,Team B Win
MCH-0220,2025-03-15,Knights,Gladiators,0,4,35,17,0.5,Team B Win
MCH-0221,2025-03-08,Phoenix FC,Knights,0,2,42,12,0.5,Team B Win
MCH-0222,2025-11-03,Strikers,Phoenix FC,4,1,50,10,0.5,Team A Win
MCH-0223,2025-02-05,Gladiators,Ironclads,4,3,51,17,0.5,Team A Win
MCH-0224,2025-01-02,Phoenix FC,Gladiators,2,1,42,5,0.5,Team A Win
MCH-0225,2025-12-29,Ironclads,Thunderbolts,2,0,57,16,0.35,Team A Win
MCH-0226,2025-02-14,Ironclads,Thunderbolts,0,1,58,15,0.35,Team B Win
MCH-0227,2025-03-20,Wizards,Gladiators,1,2,52,6,0.5,Team B Win
MCH-0228,2025-11-20,Phoenix FC,Titans,1,3,35,15,0.5,Team B Win
MCH-0229,2025-08-09,Gladiators,Strikers,3,4,40,7,0.5,Team B Win
MCH-0230,2025-03-03,Gladiators,Centurions,3,4,35,17,0.5,Team B Win
MCH-0231,2025-05-18,Gladiators,Knights,3,2,46,8,0.5,Team A Win
MCH-0232,2025-01-03,Thunderbolts,Strikers,1,0,62,17,0.65,Team A Win
MCH-0233,2025-10-21,Strikers,Vipers,0,0,59,18,0.5,Draw
MCH-0234,2025-08-05,Gladiators,Knights,2,4,40,7,0.5,Team B Win
MCH-0235,2025-01-01,Thunderbolts,Ironclads,0,0,60,19,0.65,Draw
MCH-0236,2025-01-18,Vipers,Thunderbolts,0,1,44,13,0.35,Team B Win
MCH-0237,2025-04-23,Gladiators,Thunderbolts,0,3,36,18,0.35,Team B Win
MCH-0238,2025-07-13,Ironclads,Vipers,2,4,39,6,0.5,Team B Win
MCH-0239,2025-01-14,Knights,Titans,3,1,57,6,0.5,Team A Win
MCH-0240,2025-02-06,Wizards,Ironclads,1,2,42,16,0.5,Team B Win
MCH-0241,2025-03-12,Strikers,Gladiators,2,1,36,12,0.5,Team A Win
MCH-0242,2025-09-25,Thunderbolts,Strikers,4,0,64,5,0.65,Team A Win
MCH-0243,2025-10-07,Wizards,Strikers,4,1,36,7,0.5,Team A Win
MCH-0244,2025-01-05,Thunderbolts,Vipers,3,0,37,19,0.65,Team A Win
MCH-0245,2025-09-26,Thunderbolts,Ironclads,1,0,63,8,0.65,Team A Win
MCH-0246,2025-05-28,Ironclads,Knights,2,3,40,14,0.5,Team B Win
MCH-0247,2025-04-12,Wizards,Titans,2,0,39,10,0.5,Team A Win
MCH-0248,2025-12-06,Knights,Vipers,0,4,44,9,0.5,Team B Win
MCH-0249,2025-11-07,Centurions,Ironclads,3,1,50,14,0.5,Team A Win
MCH-0250,2025-06-10,Phoenix FC,Strikers,1,0,52,15,0.5,Team A Win
MCH-0251,2025-02-13,Knights,Vipers,3,1,41,11,0.5,Team A Win
MCH-0252,2025-12-14,Wizards,Centurions,2,4,46,18,0.5,Team B Win
MCH-0253,2025-08-27,Ironclads,Titans,0,1,63,12,0.5,Team B Win
MCH-0254,2025-10-06,Phoenix FC,Titans,0,4,53,15,0.5,Team B Win
MCH-0255,2025-05-23,Gladiators,Phoenix FC,3,0,46,10,0.5,Team A Win
MCH-0256,2025-04-03,Centurions,Strikers,1,0,42,19,0.5,Team A Win
MCH-0257,2025-12-30,Ironclads,Phoenix FC,0,4,47,19,0.5,Team B Win
MCH-0258,2025-01-13,Centurions,Thunderbolts,1,0,51,19,0.35,Team A Win
MCH-0259,2025-05-13,Wizards,Strikers,4,3,56,19,0.5,Team A Win
MCH-0260,2025-06-15,Wizards,Ironclads,2,4,58,18,0.5,Team B Win
MCH-0261,2025-07-25,Gladiators,Titans,4,0,40,19,0.5,Team A Win
MCH-0262,2025-12-11,Strikers,Gladiators,2,2,62,15,0.5,Draw
MCH-0263,2025-06-21,Titans,Ironclads,2,4,41,19,0.5,Team B Win
MCH-0264,2025-10-28,Phoenix FC,Knights,0,2,64,16,0.5,Team B Win
MCH-0265,2025-01-19,Centurions,Phoenix FC,1,3,40,18,0.5,Team B Win
MCH-0266,2025-09-20,Thunderbolts,Wizards,2,2,49,13,0.65,Draw
MCH-0267,2025-08-13,Thunderbolts,Wizards,1,0,47,19,0.65,Team A Win
MCH-0268,2025-05-06,Knights,Phoenix FC,2,2,54,16,0.5,Draw
MCH-0269,2025-07-11,Phoenix FC,Thunderbolts,0,2,62,7,0.35,Team B Win
MCH-0270,2025-07-30,Vipers,Strikers,0,1,38,5,0.5,Team B Win
MCH-0271,2025-05-17,Gladiators,Knights,0,2,52,12,0.5,Team B Win
MCH-0272,2025-04-05,Wizards,Strikers,1,1,43,15,0.5,Draw
MCH-0273,2025-12-22,Titans,Gladiators,0,0,39,18,0.5,Draw
MCH-0274,2025-11-19,Strikers,Knights,0,1,61,13,0.5,Team B Win
MCH-0275,2025-12-03,Wizards,Centurions,2,1,55,19,0.5,Team A Win
MCH-0276,2025-11-07,Strikers,Phoenix FC,2,1,41,7,0.5,Team A Win
MCH-0277,2025-02-28,Titans,Vipers,0,1,47,13,0.5,Team B Win
MCH-0278,2025-10-25,Thunderbolts,Strikers,4,2,52,15,0.65,Team A Win
MCH-0279,2025-10-14,Titans,Knights,4,0,50,10,0.5,Team A Win
MCH-0280,2025-10-27,Knights,Gladiators,1,3,43,14,0.5,Team B Win
MCH-0281,2025-10-18,Thunderbolts,Gladiators,0,2,58,19,0.65,Team B Win
MCH-0282,2025-05-14,Vipers,Ironclads,3,0,49,18,0.5,Team A Win
MCH-0283,2025-08-15,Gladiators,Ironclads,0,2,50,10,0.5,Team B Win
MCH-0284,2025-01-16,Knights,Thunderbolts,2,4,46,7,0.35,Team B Win
MCH-0285,2025-12-06,Titans,Knights,1,4,36,13,0.5,Team B Win
MCH-0286,2025-03-08,Phoenix FC,Centurions,0,1,54,19,0.5,Team B Win
MCH-0287,2025-09-09,Vipers,Phoenix FC,0,2,63,17,0.5,Team B Win
MCH-0288,2025-07-23,Gladiators,Knights,3,2,58,16,0.5,Team A Win
MCH-0289,2025-02-28,Centurions,Knights,2,0,59,8,0.5,Team A Win
MCH-0290,2025-11-14,Ironclads,Strikers,0,2,44,9,0.5,Team B Win
MCH-0291,2025-11-11,Strikers,Phoenix FC,0,4,59,17,0.5,Team B Win
MCH-0292,2025-10-12,Titans,Phoenix FC,2,1,54,10,0.5,Team A Win
MCH-0293,2025-12-04,Knights,Wizards,0,1,52,8,0.5,Team B Win
MCH-0294,2025-02-06,Knights,Strikers,1,0,42,13,0.5,Team A Win
MCH-0295,2025-10-13,Thunderbolts,Knights,3,4,58,19,0.65,Team B Win
MCH-0296,2025-12-05,Knights,Ironclads,1,0,59,14,0.5,Team A Win
MCH-0297,2025-11-21,Centurions,Titans,1,1,42,17,0.5,Draw
MCH-0298,2025-04-17,Phoenix FC,Knights,0,0,51,16,0.5,Draw
MCH-0299,2025-06-19,Gladiators,Phoenix FC,0,1,54,17,0.5,Team B Win
MCH-0300,2025-10-10,Centurions,Wizards,0,4,35,5,0.5,Team B Win
MCH-0301,2025-03-09,Gladiators,Thunderbolts,2,3,39,15,0.35,Team B Win
MCH-0302,2025-08-09,Phoenix FC,Thunderbolts,0,2,61,11,0.35,Team B Win
MCH-0303,2025-04-20,Strikers,Centurions,2,1,42,10,0.5,Team A Win
MCH-0304,2025-01-16,Ironclads,Titans,0,4,40,6,0.5,Team B Win
MCH-0305,2025-03-20,Vipers,Ironclads,2,1,55,16,0.5,Team A Win
MCH-0306,2025-08-12,Ironclads,Wizards,3,1,57,5,0.5,Team A Win
MCH-0307,2025-08-30,Vipers,Wizards,0,1,36,13,0.5,Team B Win
MCH-0308,2025-09-26,Vipers,Titans,1,2,42,14,0.5,Team B Win
MCH-0309,2025-12-09,Thunderbolts,Vipers,0,2,38,14,0.65,Team B Win
MCH-0310,2025-04-24,Titans,Ironclads,3,1,42,17,0.5,Team A Win
MCH-0311,2025-08-20,Gladiators,Wizards,2,3,55,16,0.5,Team B Win
MCH-0312,2025-08-19,Thunderbolts,Phoenix FC,1,0,41,15,0.65,Team A Win
MCH-0313,2025-10-19,Thunderbolts,Strikers,3,2,50,18,0.65,Team A Win
MCH-0314,2025-11-06,Centurions,Ironclads,4,2,47,6,0.5,Team A Win
MCH-0315,2025-07-14,Phoenix FC,Strikers,3,2,61,6,0.5,Team A Win
MCH-0316,2025-08-29,Vipers,Wizards,0,2,59,17,0.5,Team B Win
MCH-0317,2025-07-02,Phoenix FC,Strikers,0,3,57,15,0.5,Team B Win
MCH-0318,2025-03-13,Thunderbolts,Phoenix FC,3,1,43,9,0.65,Team A Win
MCH-0319,2025-08-02,Titans,Centurions,3,2,36,5,0.5,Team A Win
MCH-0320,2025-09-13,Knights,Thunderbolts,1,0,62,14,0.35,Team A Win
MCH-0321,2025-02-01,Knights,Thunderbolts,3,4,55,19,0.35,Team B Win
MCH-0322,2025-10-15,Phoenix FC,Titans,2,0,53,19,0.5,Team A Win
